Group;Participant;Sound;Language;Time;Alondra;Inhibition;Compactness;Precision_L2
Auditory;126;u;L1;T1;138;-0,7027;6360.026582;40.3247956
Conflicting;201;u;L1;T1;187;-0,1641;2930.978419;71.69810876
Conflicting;202;u;L1;T1;230;0;2966.618881;173.9209816
Conflicting;203;u;L1;T1;212;-1,2584;611.7758298;149.7305345
Conflicting;204;u;L1;T1;278;0;848.1074848;14.22711432
Conflicting;205;u;L1;T1;234;-0,056;3071.288134;188.4073686
Conflicting;206;u;L1;T1;234;-0,1904;34129.55535;561.7535237
Conflicting;207;u;L1;T1;208;-0,0683;2549.837106;480.5450009
Conflicting;208;u;L1;T1;200;-1,1383;5453.860854;5.79260806
Conflicting;209;u;L1;T1;209;0;1763.749156;168.1178514
Conflicting;210;u;L1;T1;210;0;2293.633509;36.97037559
Conflicting;211;u;L1;T1;208;0;1818.592703;108.1057787
Conflicting;212;u;L1;T1;277;-0,0814;748.4951787;38.31344022
Conflicting;213;u;L1;T1;219;-0,0131;1627.79437;340.3732066
